"","V1","age","income","children","credit_history","overdue_payments","active_loans","years_in_job","employment_type","owns_property","assets_value","other_loans","education","city","marital_status","support_indicator","credit_risk"
"18",17,43,27699,0,"brak","0",3,10,"stała","tak",0,0,"średnie","średnie","M",0.68157322734984,0
"19",18,30,15407,0,"brak","0",1,11,"stała","nie",16152,0,"średnie","małe","S",0.710452873556588,0
"20",19,25,40000,4,"brak","1",1,5,"stała","tak",96214,0,"wyższe","średnie","M",0.678565271016807,0
"21",20,54,40000,0,"brak","0",1,15,"określona","tak",0,0,"podstawowe","średnie","M",0.959900288361718,0
"22",21,37,29793,0,"brak","0",3,17,"stała","tak",75607,0,"podstawowe","średnie","S",0.967530229997759,0
"23",22,40,40000,1,"brak","1",2,8,"samozatrudnienie","nie",47484,0,"średnie","średnie","S",0.629289335646828,0
"24",23,25,0,0,"brak","0",1,12,"stała","tak",45541,0,"wyższe","małe","D",0.965031218373284,0
"25",24,34,32296,4,"dobra","0",1,14,"określona","nie",30457,1,"wyższe","małe","M",0.927467621415381,0
"26",25,41,40000,3,"brak","0",1,15,"stała","nie",66863,0,"podstawowe","średnie","D",0.227668403024541,0
"27",26,28,24903,1,"dobra","1",1,15,"stała","tak",252873,1,"podstawowe","małe","S",0.730061711363752,0
"28",27,43,19387,1,"brak","3",1,2,"stała","nie",67986,0,"wyższe","duże","M",0.322431470971586,1
"29",28,33,0,0,"dobra","0",0,13,"stała","nie",207410,1,"podstawowe","małe","S",0.798662474137916,0
"30",29,37,21129,1,"dobra","0",3,17,"samozatrudnienie","tak",72144,0,"średnie","średnie","M",0.300150987984795,0
"31",30,33,33246,2,"brak","0",1,12,"stała","nie",29331,1,"średnie","średnie","M",0.230763520538078,0
"32",31,58,35341,0,"dobra","0",0,17,"samozatrudnienie","tak",61975,0,"podstawowe","małe","S",0.971261470637999,0
"33",32,39,0,0,"dobra","0",2,9,"stała","nie",0,1,"podstawowe","małe","S",0.271440216506753,0
"34",33,29,16803,3,"brak","0",2,11,"określona","nie",155667,1,"średnie","duże","M",0.702994947519646,0
"35",34,48,0,0,"dobra","0",1,9,"stała","tak",0,0,"średnie","małe","D",0.0551512056040505,0
"36",35,27,17195,1,"dobra","1",4,12,"stała","tak",0,1,"wyższe","średnie","S",0.499791370411108,0
"37",36,42,0,0,"dobra","0",2,13,"stała","tak",114135,0,"średnie","średnie","M",0.516067587958881,0
"38",37,20,18836,0,"dobra","0",2,4,"stała","nie",38076,0,"wyższe","średnie","M",0.753018220550163,0
"39",38,26,30009,2,"brak","0",0,10,"stała","nie",115545,0,"średnie","duże","M",0.684422210496274,0
"40",39,41,40000,0,"dobra","0",2,10,"samozatrudnienie","nie",66282,0,"średnie","średnie","M",0.635764533645681,0
"41",40,47,23429,1,"brak","0",3,7,"stała","tak",73472,1,"średnie","średnie","S",0.284791597322166,0
"42",41,41,19764,0,"brak","0",0,11,"stała","tak",88613,0,"wyższe","duże","S",0.433192767622558,0
"43",42,38,0,0,"dobra","0",0,5,"stała","nie",0,0,"wyższe","średnie","M",0.596475569142784,0
"44",43,36,23439,3,"dobra","0",3,5,"brak","tak",55130,0,"wyższe","małe","M",0.394806505771377,0
"45",44,25,0,1,"dobra","1",3,6,"stała","nie",57134,0,"średnie","małe","M",0.881743551999591,0
"46",45,32,0,3,"dobra","0",1,3,"stała","tak",86530,0,"średnie","duże","S",0.911811867838673,0
"47",46,35,27595,3,"brak","0",2,6,"brak","tak",0,0,"podstawowe","małe","S",0.50908856178979,0
"48",47,50,24461,3,"dobra","0",3,19,"stała","nie",28384,1,"średnie","małe","S",0.117615635624278,0
"49",48,43,27688,3,"dobra","2",3,4,"brak","nie",0,0,"podstawowe","średnie","M",0.241125861556304,0
"50",49,22,27360,0,"dobra","1",5,5,"określona","tak",25756,0,"średnie","małe","M",0.943320997615877,1
"51",50,43,9082,3,"brak","0",4,10,"stała","nie",348410,0,"średnie","duże","M",0.798702112364439,0
"52",51,36,30285,0,"brak","0",2,4,"stała","tak",183521,0,"średnie","małe","M",0.723178840838718,0
"53",52,33,15748,0,"brak","1",1,5,"samozatrudnienie","nie",0,0,"wyższe","małe","M",0.375728557332783,0
"54",53,46,12734,0,"dobra","0",1,3,"stała","tak",44730,1,"podstawowe","średnie","M",0.352899423426379,0
"55",54,50,12679,0,"dobra","1",3,10,"samozatrudnienie","tak",76384,1,"podstawowe","średnie","M",0.557715495531742,0
"56",55,49,27358,1,"dobra","1",0,8,"stała","tak",40633,1,"podstawowe","średnie","M",0.564334977424143,0
"57",56,31,19706,0,"brak","1",2,12,"samozatrudnienie","nie",220257,1,"średnie","średnie","M",0.603552931370376,0
"58",57,36,0,0,"dobra","0",0,11,"stała","nie",43596,0,"podstawowe","małe","M",0.573921689173528,0
"59",58,43,0,0,"brak","0",1,15,"stała","nie",68637,0,"podstawowe","średnie","S",0.318472166766406,0
"60",59,49,10723,0,"dobra","1",0,7,"stała","tak",77017,1,"średnie","średnie","M",0.180621368137783,0
"61",60,35,23621,2,"dobra","0",1,4,"samozatrudnienie","tak",0,0,"średnie","średnie","M",0.970728033398562,0
"62",61,38,24816,0,"brak","0",1,5,"stała","tak",117375,0,"podstawowe","małe","M",0.0919774451731422,0
"63",62,28,34296,0,"brak","0",1,19,"samozatrudnienie","nie",60562,0,"średnie","małe","M",0.817769269937689,0
"64",63,28,40000,0,"dobra","0",0,0,"stała","tak",235640,0,"podstawowe","małe","D",0.196918924934584,0
"65",64,48,0,0,"brak","1",2,15,"stała","nie",70204,1,"średnie","duże","S",0.953615878185318,0
"66",65,53,21456,1,"brak","0",1,15,"stała","tak",159523,1,"średnie","małe","S",0.499353379275746,0
"67",66,39,19184,0,"brak","0",5,11,"określona","nie",25098,1,"średnie","średnie","M",0.338058764901432,1
"68",67,50,27361,0,"brak","0",2,5,"stała","tak",270347,0,"średnie","małe","S",0.918927446222774,0
"69",68,43,24534,0,"dobra","1",1,12,"samozatrudnienie","tak",60881,1,"podstawowe","małe","M",0.340525431421856,0
"70",69,33,18466,0,"brak","1",3,5,"stała","nie",98848,0,"podstawowe","duże","D",0.528115422917374,0
"71",70,43,17668,4,"brak","0",1,7,"samozatrudnienie","tak",35151,1,"średnie","małe","M",0.799826047881504,0
"72",71,55,12604,0,"brak","2",1,11,"stała","tak",25807,1,"średnie","małe","M",0.74732036884163,0
"73",72,39,0,2,"dobra","0",0,7,"brak","nie",0,0,"wyższe","małe","S",0.895262642814066,0
"74",73,55,27711,2,"brak","0",0,4,"określona","tak",91277,0,"wyższe","duże","S",0.367444457995813,0
"75",74,18,0,0,"dobra","0",3,9,"określona","tak",27228,0,"wyższe","małe","M",0.203953572280581,0
"76",75,48,0,5,"brak","1",0,12,"określona","tak",63707,1,"średnie","małe","M",0.434558046811308,0
"77",76,40,15860,2,"dobra","0",0,15,"brak","nie",10995,0,"średnie","średnie","M",0.682876863393459,0
"78",77,37,12846,1,"brak","0",3,13,"stała","nie",0,0,"podstawowe","małe","M",0.262124874976942,0
"79",78,40,26356,0,"brak","1",0,17,"stała","nie",43404,1,"podstawowe","średnie","S",0.677658267912093,0
"80",79,20,13096,1,"dobra","0",2,11,"stała","tak",0,0,"podstawowe","małe","M",0.169717925457113,1
"81",80,37,40000,0,"dobra","0",0,9,"brak","nie",0,0,"średnie","duże","D",0.994337567748446,0
"82",81,43,0,0,"dobra","0",0,18,"stała","tak",0,0,"podstawowe","duże","M",0.548275847883256,0
"83",82,54,25256,2,"dobra","0",3,8,"samozatrudnienie","tak",131342,0,"podstawowe","średnie","M",0.0776198533876133,0
"84",83,34,40000,3,"brak","1",1,14,"stała","tak",27821,0,"podstawowe","średnie","M",0.118103529462233,0
"85",84,31,29719,0,"dobra","0",1,16,"stała","tak",0,0,"średnie","średnie","M",0.590312760544092,0
"86",85,34,24048,2,"dobra","0",1,0,"określona","tak",68067,1,"podstawowe","średnie","S",0.555074276912151,0
"87",86,49,0,2,"dobra","1",1,10,"brak","nie",0,1,"podstawowe","małe","S",0.413699167431935,0
"88",87,43,11038,0,"dobra","0",1,4,"określona","nie",63191,0,"podstawowe","średnie","S",0.605713884139491,0
"89",88,34,32371,0,"brak","1",4,4,"stała","tak",51594,1,"wyższe","średnie","S",0.0979861074734546,0
"90",89,45,40000,0,"brak","0",2,5,"samozatrudnienie","nie",37860,1,"podstawowe","małe","M",0.122704248044994,0
"91",90,40,17686,2,"brak","1",0,0,"określona","nie",103699,0,"średnie","średnie","S",0.291285374030657,0
"92",91,49,12462,2,"dobra","0",3,14,"stała","nie",188109,1,"średnie","średnie","S",0.824298252776408,0
"93",92,32,0,0,"dobra","1",1,8,"określona","tak",0,0,"podstawowe","małe","D",0.239517136984162,0
"94",93,36,13488,1,"brak","0",2,15,"brak","nie",23434,0,"średnie","małe","M",0.737526618453484,0
"95",94,36,20809,2,"brak","0",2,11,"stała","tak",145364,0,"średnie","średnie","S",0.578548587090093,0
"96",95,25,40000,2,"dobra","1",0,9,"brak","tak",61991,0,"podstawowe","małe","S",0.342077615524125,0
"97",96,42,0,0,"brak","0",1,5,"stała","tak",19230,1,"średnie","średnie","M",0.125993695486213,0
"98",97,42,25656,1,"dobra","0",1,8,"określona","tak",37388,0,"podstawowe","średnie","M",0.728205421216886,0
"99",98,40,18032,3,"dobra","0",1,12,"stała","nie",210199,0,"średnie","średnie","M",0.434952179219526,0
"100",99,37,16455,0,"dobra","0",0,8,"samozatrudnienie","nie",56602,0,"wyższe","średnie","M",0.607907036306536,0
"101",100,25,40000,0,"brak","0",1,6,"określona","tak",114778,0,"średnie","średnie","M",0.445643693570728,0
"102",101,35,24352,2,"brak","0",1,9,"stała","nie",16388,1,"podstawowe","średnie","S",0.690360513523157,0
"103",102,36,0,0,"brak","0",1,15,"określona","nie",32371,0,"średnie","małe","S",0.0557206331488987,0
"104",103,31,15728,3,"brak","0",1,10,"stała","tak",176322,0,"średnie","duże","M",0.0487534108585968,0
"105",104,38,14341,0,"dobra","0",6,15,"stała","nie",56249,0,"średnie","średnie","M",0.262859121375116,1
"106",105,44,16761,0,"dobra","0",0,0,"określona","nie",115992,0,"podstawowe","małe","M",0.800432318744466,0
"107",106,58,29186,0,"brak","1",0,10,"określona","tak",134796,0,"wyższe","małe","S",0.426647515370895,0
"108",107,41,0,0,"dobra","1",0,9,"stała","nie",58428,0,"podstawowe","duże","M",0.976973692024599,0
"109",108,42,21195,0,"dobra","0",0,5,"brak","tak",0,1,"wyższe","duże","S",0.780628944554786,0
"110",109,39,40000,1,"brak","0",0,10,"stała","nie",36332,1,"średnie","małe","D",0.612021997375419,0
"111",110,20,15549,0,"dobra","1",2,14,"stała","tak",11464,1,"średnie","małe","S",0.257333132117154,0
"112",111,39,0,3,"brak","0",0,10,"stała","nie",163593,0,"podstawowe","małe","S",0.263972723797683,0
"113",112,40,15746,1,"dobra","1",0,3,"stała","nie",252011,1,"podstawowe","małe","M",0.340377599301026,0
"114",113,64,23031,0,"dobra","1",2,12,"stała","nie",0,0,"średnie","małe","M",0.847352769944665,0
"115",114,38,0,0,"brak","0",2,15,"samozatrudnienie","tak",273266,1,"średnie","małe","S",0.798622816064005,0
"116",115,43,23428,1,"dobra","0",1,10,"stała","tak",117510,1,"średnie","średnie","S",0.735092770722713,0
"117",116,39,27509,0,"brak","0",2,9,"stała","tak",11426,1,"średnie","średnie","M",0.525088472919535,0
"118",117,28,27362,0,"brak","1",2,6,"określona","tak",21666,0,"podstawowe","małe","S",0.369682372251259,0
"119",118,51,15114,3,"dobra","0",3,11,"samozatrudnienie","tak",10000,1,"średnie","duże","D",0.735808939467594,0
"120",119,47,12563,0,"dobra","0",0,8,"samozatrudnienie","nie",103883,0,"średnie","małe","D",0.332663823876328,0
"121",120,47,0,0,"dobra","0",1,28,"stała","nie",40695,0,"podstawowe","duże","S",0.775778361382762,0
"122",121,30,17292,1,"brak","0",1,15,"samozatrudnienie","nie",49169,1,"średnie","duże","M",0.151734981587867,0
"123",122,54,31244,1,"brak","0",3,11,"brak","nie",43524,0,"podstawowe","małe","M",0.625590392783539,0
"124",123,25,9859,0,"dobra","0",0,12,"stała","nie",0,0,"średnie","duże","M",0.0983684221495957,0
"125",124,45,19152,2,"dobra","3",1,9,"określona","nie",0,0,"podstawowe","małe","D",0.556650448786877,1
"126",125,61,0,1,"dobra","0",2,12,"samozatrudnienie","nie",153587,0,"średnie","małe","M",0.0986113930896519,0
"127",126,30,27900,1,"dobra","0",2,12,"brak","tak",35747,0,"podstawowe","średnie","M",0.896173881329591,0
"128",127,34,0,0,"dobra","0",2,6,"stała","nie",25034,0,"średnie","małe","M",0.403409244208824,0
"129",128,40,23934,4,"brak","0",1,8,"brak","nie",88491,1,"podstawowe","małe","S",0.634202107589271,0
"130",129,34,12396,0,"dobra","0",1,11,"samozatrudnienie","tak",50025,1,"średnie","duże","S",0.341755852169286,0
"131",130,24,25904,1,"dobra","0",1,12,"samozatrudnienie","nie",68129,0,"wyższe","średnie","S",0.543476321370108,0
"132",131,40,0,0,"dobra","0",0,8,"stała","tak",130240,1,"średnie","duże","M",0.719497351816889,0
"133",132,29,14360,2,"brak","0",4,7,"określona","nie",36792,1,"podstawowe","małe","M",0.341857675599041,0
"134",133,44,19209,0,"dobra","0",4,12,"stała","nie",10596,0,"średnie","średnie","S",0.212597043800325,0
"135",134,30,13014,0,"dobra","1",1,12,"określona","nie",46823,1,"średnie","małe","M",0.69387886863283,0
"136",135,55,17365,2,"dobra","3",1,7,"samozatrudnienie","nie",5e+05,1,"średnie","duże","M",0.128566211930421,1
"137",136,32,12128,0,"dobra","0",1,0,"stała","nie",0,1,"podstawowe","małe","S",0.82449673804371,0
"138",137,36,8807,0,"dobra","0",3,12,"stała","tak",33695,0,"średnie","duże","S",0.556263843550435,0
"139",138,48,36643,1,"brak","0",3,14,"stała","tak",52458,0,"średnie","małe","M",0.14424728761016,0
"140",139,27,11521,2,"dobra","0",1,13,"określona","nie",109909,0,"średnie","średnie","S",0.466127249342738,0
"141",140,42,20143,0,"dobra","0",3,18,"określona","tak",29292,0,"średnie","średnie","D",0.356583363461555,0
"142",141,53,32094,0,"brak","0",0,14,"określona","nie",5e+05,1,"średnie","średnie","S",0.157372355536073,0
"143",142,23,16196,4,"dobra","1",3,11,"samozatrudnienie","nie",29375,1,"wyższe","średnie","S",0.0388975620977576,0
"144",143,41,14580,1,"brak","0",1,5,"samozatrudnienie","tak",32676,1,"wyższe","średnie","S",0.447332466550333,0
"145",144,42,24664,0,"dobra","1",3,9,"określona","tak",274334,0,"średnie","małe","M",0.651527386906391,0
"146",145,47,0,2,"brak","3",0,8,"stała","tak",0,0,"podstawowe","małe","S",0.888003956296123,1
"147",146,27,12275,1,"dobra","1",3,11,"samozatrudnienie","tak",292471,0,"podstawowe","małe","M",0.332986095268137,0
"148",147,26,0,0,"dobra","0",1,3,"samozatrudnienie","tak",226962,0,"średnie","małe","S",0.304397894345894,0
"149",148,45,9262,0,"brak","0",1,12,"samozatrudnienie","tak",114983,1,"średnie","małe","M",0.529417065041555,0
"150",149,42,18095,0,"dobra","0",3,7,"stała","nie",16306,1,"podstawowe","średnie","S",0.567677886500446,0
"151",150,42,22406,3,"brak","1",0,11,"określona","tak",40146,1,"średnie","średnie","S",0.142290809779439,0
"152",151,43,14366,0,"brak","0",0,7,"samozatrudnienie","nie",26108,1,"średnie","małe","M",0.0751475454381629,0
"153",152,33,17527,0,"brak","1",2,9,"określona","nie",0,0,"podstawowe","duże","M",0.178104267459472,0
"154",153,42,10893,3,"brak","1",1,5,"stała","nie",0,1,"średnie","średnie","M",0.614144680706051,0
"155",154,42,22891,0,"dobra","0",2,5,"samozatrudnienie","nie",32055,1,"średnie","średnie","M",0.390846596456755,0
"156",155,32,37340,1,"dobra","0",0,12,"stała","nie",0,0,"podstawowe","średnie","M",0.093937699309245,0
"157",156,58,12726,0,"brak","0",2,14,"brak","nie",127595,0,"wyższe","średnie","S",0.781438540445668,0
"158",157,44,0,1,"dobra","0",1,9,"określona","nie",0,0,"średnie","średnie","M",0.633973894832179,0
"159",158,28,0,0,"brak","0",1,16,"stała","tak",87019,0,"średnie","średnie","M",0.835106271387598,0
"160",159,46,40000,0,"dobra","0",2,15,"stała","tak",16492,0,"średnie","małe","S",0.305791690278265,0
"161",160,30,0,1,"dobra","1",1,11,"stała","tak",0,1,"średnie","średnie","D",0.567312358202441,0
"162",161,47,0,1,"dobra","0",1,5,"stała","nie",0,1,"podstawowe","średnie","M",0.705131313046612,0
"163",162,51,0,1,"dobra","1",0,11,"brak","nie",0,0,"średnie","średnie","M",0.919721091379225,0
"164",163,31,20930,1,"dobra","0",3,11,"określona","nie",23627,1,"średnie","małe","M",0.0523493622514941,0
"165",164,49,6384,1,"dobra","0",2,12,"samozatrudnienie","tak",0,0,"podstawowe","średnie","M",0.917848208582062,0
"166",165,44,28297,1,"dobra","0",1,8,"stała","tak",35792,1,"średnie","średnie","M",0.188355705278599,0
"167",166,48,40000,1,"dobra","0",3,6,"stała","nie",50240,0,"średnie","małe","S",0.405869496184026,0
"168",167,58,23349,1,"dobra","0",0,1,"stała","tak",27567,0,"wyższe","średnie","M",0.125931583395053,0
"169",168,37,13153,1,"dobra","0",3,10,"brak","tak",42626,1,"wyższe","średnie","D",0.882334333455492,0
"170",169,32,17042,1,"brak","2",3,9,"stała","tak",75964,0,"podstawowe","średnie","S",0.276716806343254,0
"171",170,31,40000,0,"dobra","0",2,16,"samozatrudnienie","tak",40686,1,"podstawowe","małe","S",0.606115120420295,0
"172",171,31,34716,0,"brak","1",2,5,"stała","nie",13106,0,"średnie","duże","M",0.471715516559516,0
"173",172,39,30333,0,"brak","0",3,9,"stała","tak",108205,0,"podstawowe","średnie","M",0.876852535468577,0
"174",173,43,26323,3,"dobra","0",4,4,"samozatrudnienie","nie",102759,1,"średnie","duże","D",0.0398916385467994,0
"175",174,42,15826,2,"brak","0",3,18,"stała","nie",42126,1,"średnie","duże","D",0.414690344196117,0
"176",175,48,19924,1,"dobra","0",5,8,"stała","tak",114208,1,"średnie","małe","M",0.255761156002276,1
"177",176,40,21184,0,"brak","1",2,3,"stała","tak",43882,0,"średnie","średnie","M",0.258790940312628,0
"178",177,54,28992,0,"dobra","0",2,10,"samozatrudnienie","tak",23765,0,"podstawowe","średnie","M",0.531686779997584,0
"179",178,37,40000,3,"dobra","0",0,10,"określona","nie",85705,0,"podstawowe","średnie","S",0.23917569416547,0
"180",179,67,38529,3,"dobra","1",3,6,"określona","nie",161129,0,"średnie","małe","M",0.522307898210812,0
"181",180,46,10832,0,"brak","0",2,9,"stała","tak",79274,1,"podstawowe","duże","M",0.135247194668165,0
"182",181,31,24636,2,"brak","1",2,4,"stała","tak",118804,0,"wyższe","małe","D",0.924695237392286,0
"183",182,29,31836,0,"dobra","0",2,7,"stała","nie",44246,1,"wyższe","małe","D",0.822178845131827,0
"184",183,44,30014,0,"dobra","0",1,7,"stała","tak",55485,1,"średnie","małe","S",0.0881633810869008,0
"185",184,37,16080,2,"dobra","1",0,23,"samozatrudnienie","nie",174375,0,"średnie","małe","D",0.812345642063963,0
"186",185,47,0,1,"brak","0",2,15,"samozatrudnienie","nie",124504,0,"średnie","średnie","D",0.769418330568148,0
"187",186,44,0,2,"dobra","0",3,10,"stała","nie",128912,0,"średnie","małe","S",0.0690356391128309,0
"188",187,39,0,0,"dobra","0",2,9,"stała","tak",42379,0,"wyższe","średnie","S",0.494332448623997,0
"189",188,31,0,0,"brak","0",0,16,"stała","nie",0,0,"średnie","średnie","S",0.153006489849839,0
"190",189,24,40000,0,"brak","0",1,15,"brak","tak",75755,0,"średnie","średnie","S",0.0556024637978614,0
"191",190,35,14499,0,"dobra","1",2,8,"stała","tak",24818,0,"średnie","duże","M",0.671889478957648,0
"192",191,48,0,1,"brak","0",0,21,"określona","tak",15083,0,"podstawowe","duże","M",0.46093943515294,0
"193",192,42,37746,0,"dobra","1",1,8,"stała","nie",120563,0,"podstawowe","średnie","S",0.573249319678033,0
"194",193,27,21830,0,"brak","0",1,8,"określona","tak",20736,1,"podstawowe","średnie","M",0.143926307217007,0
"195",194,41,18633,0,"dobra","0",3,12,"stała","nie",53088,0,"średnie","małe","S",0.422527441974495,0
"196",195,43,29226,2,"brak","0",1,10,"samozatrudnienie","tak",117996,1,"średnie","średnie","M",0.128021825142126,0
"197",196,31,25241,1,"brak","1",1,7,"stała","tak",40619,0,"podstawowe","małe","D",0.503240559777557,0
"198",197,41,36872,1,"dobra","0",2,8,"określona","nie",39841,0,"średnie","małe","M",0.405974637452157,0
"199",198,40,40000,0,"dobra","0",2,6,"określona","tak",129187,1,"średnie","średnie","M",0.983821005510507,0
"200",199,28,25680,0,"dobra","2",1,10,"samozatrudnienie","nie",124044,0,"podstawowe","średnie","S",0.0193710676030839,0
"201",200,43,25485,0,"dobra","0",0,9,"brak","nie",0,0,"średnie","średnie","S",0.296437152405639,0
"202",201,45,24515,0,"dobra","0",0,12,"określona","tak",0,0,"podstawowe","duże","M",0.611504265863196,0
"203",202,50,28129,0,"brak","0",1,11,"stała","tak",12724,0,"średnie","małe","M",0.621836119185188,0
"204",203,50,22642,0,"dobra","0",0,5,"samozatrudnienie","nie",65228,1,"średnie","średnie","S",0.555997399848843,0
"205",204,26,0,1,"dobra","0",1,7,"określona","tak",62375,0,"średnie","średnie","D",0.858299983532704,0
"206",205,30,40000,5,"dobra","1",1,15,"stała","tak",24031,0,"średnie","małe","D",0.746558091866199,0
"207",206,45,40000,0,"dobra","0",1,9,"stała","tak",0,0,"średnie","małe","S",0.932346623539894,0
"208",207,45,10365,2,"brak","1",2,4,"samozatrudnienie","nie",23151,1,"wyższe","średnie","M",0.677343439312091,0
"209",208,45,0,0,"dobra","0",1,8,"określona","tak",247551,1,"średnie","średnie","S",0.262861012419707,0
"210",209,70,0,1,"brak","0",2,9,"stała","tak",38331,1,"podstawowe","małe","S",0.567441733921352,0
"211",210,45,18854,1,"brak","0",2,20,"samozatrudnienie","tak",0,0,"wyższe","średnie","M",0.761850486252637,0
"212",211,51,26937,3,"brak","1",2,8,"określona","nie",0,0,"podstawowe","małe","S",0.830224303961615,0
"213",212,49,30783,0,"brak","2",1,8,"stała","nie",0,1,"podstawowe","małe","M",0.0895557526507284,0
"214",213,46,0,0,"dobra","0",2,11,"stała","tak",30620,1,"wyższe","małe","S",0.445125795352062,0
"215",214,36,8461,0,"brak","1",1,13,"brak","nie",21576,0,"wyższe","duże","M",0.231821808841421,0
"216",215,47,13595,0,"dobra","0",2,19,"samozatrudnienie","tak",259480,0,"średnie","średnie","M",0.827963738265547,0
"217",216,32,0,3,"dobra","0",1,8,"stała","tak",402839,0,"średnie","średnie","S",0.0698646288614759,0
"218",217,37,5595,2,"dobra","1",2,9,"stała","tak",125831,1,"średnie","duże","S",0.363449173728386,0
"219",218,35,39883,2,"dobra","0",2,4,"stała","nie",50754,1,"średnie","małe","D",0.119354808631337,0
"220",219,40,28584,1,"dobra","1",2,3,"stała","nie",40117,0,"średnie","duże","S",0.660760819969953,0
"221",220,63,0,3,"dobra","0",2,10,"stała","nie",79628,0,"średnie","małe","M",0.0092325898215477,0
"222",221,21,0,0,"dobra","1",1,5,"samozatrudnienie","nie",95164,0,"średnie","średnie","M",0.8388867829911,0
"223",222,46,0,0,"dobra","0",1,2,"stała","tak",49596,0,"wyższe","średnie","M",0.514352684807341,0
"224",223,23,27314,2,"brak","0",0,6,"stała","nie",42284,0,"wyższe","małe","S",0.412134300684388,0
"225",224,35,40000,0,"dobra","0",2,3,"stała","tak",40392,1,"wyższe","średnie","D",0.37063192784458,0
"226",225,50,34974,0,"brak","0",0,9,"stała","nie",22201,0,"podstawowe","średnie","S",0.321024985649616,0
"227",226,40,0,0,"dobra","1",0,3,"stała","tak",62229,0,"średnie","średnie","S",0.310384925434265,0
"228",227,29,23003,1,"brak","1",1,8,"określona","nie",76225,1,"podstawowe","małe","S",0.948927872066697,0
"229",228,32,16874,1,"brak","1",0,12,"stała","nie",84850,0,"średnie","duże","S",0.46026081045242,0
"230",229,46,0,0,"brak","0",1,8,"stała","tak",39422,0,"średnie","małe","S",0.0878136672408548,0
"231",230,32,0,2,"dobra","0",0,9,"stała","tak",139605,1,"podstawowe","małe","S",0.464445227703294,0
"232",231,42,12103,2,"brak","0",2,4,"samozatrudnienie","tak",73242,1,"średnie","małe","M",0.727543123604458,0
"233",232,40,14088,3,"dobra","0",1,13,"stała","nie",132495,1,"średnie","średnie","D",0.578836948161249,1
"234",233,33,0,1,"dobra","0",1,11,"stała","nie",58231,0,"średnie","duże","M",0.83765126385458,0
"235",234,61,0,2,"dobra","0",1,9,"stała","nie",59403,1,"wyższe","małe","S",0.375796153706432,0
"236",235,46,0,2,"brak","1",2,11,"brak","nie",116610,0,"średnie","średnie","S",0.884572803187668,0
"237",236,19,39369,0,"dobra","0",3,9,"samozatrudnienie","nie",44144,1,"podstawowe","małe","M",0.673234027140288,0
"238",237,41,20081,0,"dobra","0",3,12,"samozatrudnienie","nie",52971,0,"średnie","duże","S",0.549562627287314,0
"239",238,33,10374,0,"dobra","0",0,13,"samozatrudnienie","nie",53322,0,"średnie","małe","M",0.750451405456699,0
"240",239,48,33522,0,"brak","0",0,8,"określona","nie",51900,0,"podstawowe","małe","S",0.0816468888792941,0
"241",240,32,40000,0,"brak","0",3,7,"określona","tak",0,0,"średnie","małe","S",0.254498853235301,0
"242",241,38,15944,0,"brak","0",1,7,"brak","nie",40752,0,"wyższe","średnie","S",0.3746163321883,0
"243",242,45,17339,0,"dobra","0",0,6,"samozatrudnienie","tak",354436,1,"wyższe","duże","S",0.6132648826763,0
"244",243,48,28504,0,"dobra","1",2,5,"samozatrudnienie","nie",0,1,"średnie","małe","M",0.15869183395816,0
