Unnamed: 0,V1,age,income,children,active_loans,years_in_job,assets_value,other_loans,support_indicator,credit_risk,overdue_payments_0,overdue_payments_1,overdue_payments_2,overdue_payments_3,overdue_payments_4,credit_history_brak,credit_history_dobra,employment_type_brak,employment_type_określona,employment_type_samozatrudnienie,employment_type_stała,owns_property_nie,owns_property_tak,education_podstawowe,education_wyższe,education_średnie,city_duże,city_małe,city_średnie,marital_status_D,marital_status_M,marital_status_S
16,15,34,22488,3,0,19,48217.0,0,0.520705483731618,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False
17,16,29,12876,0,0,11,34306.0,1,0.412304230665331,0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False
18,17,43,27699,0,3,10,0.0,0,0.68157322734984,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False
19,18,30,15407,0,1,11,16152.0,0,0.710452873556588,0,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True
20,19,25,40000,4,1,5,96214.0,0,0.678565271016807,0,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False
21,20,54,40000,0,1,15,0.0,0,0.959900288361718,0,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False
22,21,37,29793,0,3,17,75607.0,0,0.967530229997759,0,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True
23,22,40,40000,1,2,8,47484.0,0,0.629289335646828,0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
24,23,25,0,0,1,12,45541.0,0,0.965031218373284,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False
25,24,34,32296,4,1,14,30457.0,1,0.927467621415381,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
26,25,41,40000,3,1,15,66863.0,0,0.227668403024541,0,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,False
27,26,28,24903,1,1,15,252873.0,1,0.730061711363752,0,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True
28,27,43,19387,1,1,2,67986.0,0,0.322431470971586,1,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False
29,28,33,0,0,0,13,207410.0,1,0.798662474137916,0,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True
30,29,37,21129,1,3,17,72144.0,0,0.300150987984795,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False
31,30,33,33246,2,1,12,29331.0,1,0.230763520538078,0,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False
32,31,58,35341,0,0,17,61975.0,0,0.971261470637999,0,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True
33,32,39,0,0,2,9,0.0,1,0.271440216506753,0,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True
34,33,29,16803,3,2,11,155667.0,1,0.702994947519646,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False
35,34,48,0,0,1,9,0.0,0,0.0551512056040505,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False
36,35,27,17195,1,4,12,0.0,1,0.499791370411108,0,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True
37,36,42,0,0,2,13,114135.0,0,0.516067587958881,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False
38,37,20,18836,0,2,4,38076.0,0,0.753018220550163,0,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False
39,38,26,30009,2,0,10,115545.0,0,0.684422210496274,0,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False
40,39,41,40000,0,2,10,66282.0,0,0.635764533645681,0,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False
41,40,47,23429,1,3,7,73472.0,1,0.284791597322166,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
42,41,41,19764,0,0,11,88613.0,0,0.433192767622558,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True
43,42,38,0,0,0,5,0.0,0,0.596475569142784,0,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False
44,43,36,23439,3,3,5,55130.0,0,0.394806505771377,0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False
45,44,25,0,1,3,6,57134.0,0,0.881743551999591,0,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False
46,45,32,0,3,1,3,86530.0,0,0.911811867838673,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True
47,46,35,27595,3,2,6,0.0,0,0.50908856178979,0,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True
48,47,50,24461,3,3,19,28384.0,1,0.117615635624278,0,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True
49,48,43,27688,3,3,4,0.0,0,0.241125861556304,0,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
50,49,22,27360,0,5,5,25756.0,0,0.943320997615877,1,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
51,50,43,9082,3,4,10,348410.0,0,0.798702112364439,0,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False
52,51,36,30285,0,2,4,183521.0,0,0.723178840838718,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False
53,52,33,15748,0,1,5,0.0,0,0.375728557332783,0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
54,53,46,12734,0,1,3,44730.0,1,0.352899423426379,0,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False
55,54,50,12679,0,3,10,76384.0,1,0.557715495531742,0,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False
56,55,49,27358,1,0,8,40633.0,1,0.564334977424143,0,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False
57,56,31,19706,0,2,12,220257.0,1,0.603552931370376,0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False
58,57,36,0,0,0,11,43596.0,0,0.573921689173528,0,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False
59,58,43,0,0,1,15,68637.0,0,0.318472166766406,0,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True
60,59,49,10723,0,0,7,77017.0,1,0.180621368137783,0,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False
61,60,35,23621,2,1,4,0.0,0,0.970728033398562,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False
62,61,38,24816,0,1,5,117375.0,0,0.0919774451731422,0,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
63,62,28,34296,0,1,19,60562.0,0,0.817769269937689,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False
64,63,28,40000,0,0,0,235640.0,0,0.196918924934584,0,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False
65,64,48,0,0,2,15,70204.0,1,0.953615878185318,0,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True
66,65,53,21456,1,1,15,159523.0,1,0.499353379275746,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True
67,66,39,19184,0,5,11,25098.0,1,0.338058764901432,1,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False
68,67,50,27361,0,2,5,270347.0,0,0.918927446222774,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True
69,68,43,24534,0,1,12,60881.0,1,0.340525431421856,0,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
70,69,33,18466,0,3,5,98848.0,0,0.528115422917374,0,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False
71,70,43,17668,4,1,7,35151.0,1,0.799826047881504,0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
72,71,55,12604,0,1,11,25807.0,1,0.74732036884163,0,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False
73,72,39,0,2,0,7,0.0,0,0.895262642814066,0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
74,73,55,27711,2,0,4,91277.0,0,0.367444457995813,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True
75,74,18,0,0,3,9,27228.0,0,0.203953572280581,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
76,75,48,0,5,0,12,63707.0,1,0.434558046811308,0,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
77,76,40,15860,2,0,15,10995.0,0,0.682876863393459,0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False
78,77,37,12846,1,3,13,0.0,0,0.262124874976942,0,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False
79,78,40,26356,0,0,17,43404.0,1,0.677658267912093,0,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True
80,79,20,13096,1,2,11,0.0,0,0.169717925457113,1,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False
81,80,37,40000,0,0,9,0.0,0,0.994337567748446,0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False
82,81,43,0,0,0,18,0.0,0,0.548275847883256,0,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False
83,82,54,25256,2,3,8,131342.0,0,0.0776198533876133,0,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False
84,83,34,40000,3,1,14,27821.0,0,0.118103529462233,0,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False
85,84,31,29719,0,1,16,0.0,0,0.590312760544092,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False
86,85,34,24048,2,1,0,68067.0,1,0.555074276912151,0,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True
87,86,49,0,2,1,10,0.0,1,0.413699167431935,0,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
88,87,43,11038,0,1,4,63191.0,0,0.605713884139491,0,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
89,88,34,32371,0,4,4,51594.0,1,0.0979861074734546,0,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True
90,89,45,40000,0,2,5,37860.0,1,0.122704248044994,0,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False
91,90,40,17686,2,0,0,103699.0,0,0.291285374030657,0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True
92,91,49,12462,2,3,14,188109.0,1,0.824298252776408,0,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True
93,92,32,0,0,1,8,0.0,0,0.239517136984162,0,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False
94,93,36,13488,1,2,15,23434.0,0,0.737526618453484,0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
95,94,36,20809,2,2,11,145364.0,0,0.578548587090093,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
96,95,25,40000,2,0,9,61991.0,0,0.342077615524125,0,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True
97,96,42,0,0,1,5,19230.0,1,0.125993695486213,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False
98,97,42,25656,1,1,8,37388.0,0,0.728205421216886,0,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False
99,98,40,18032,3,1,12,210199.0,0,0.434952179219526,0,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False
100,99,37,16455,0,0,8,56602.0,0,0.607907036306536,0,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False
101,100,25,40000,0,1,6,114778.0,0,0.445643693570728,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False
102,101,35,24352,2,1,9,16388.0,1,0.690360513523157,0,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True
103,102,36,0,0,1,15,32371.0,0,0.0557206331488987,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
104,103,31,15728,3,1,10,176322.0,0,0.0487534108585968,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False
105,104,38,14341,0,6,15,56249.0,0,0.262859121375116,1,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False
106,105,44,16761,0,0,0,115992.0,0,0.800432318744466,0,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
107,106,58,29186,0,0,10,134796.0,0,0.426647515370895,0,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
108,107,41,0,0,0,9,58428.0,0,0.976973692024599,0,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False
109,108,42,21195,0,0,5,0.0,1,0.780628944554786,0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True
110,109,39,40000,1,0,10,36332.0,1,0.612021997375419,0,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False
111,110,20,15549,0,2,14,11464.0,1,0.257333132117154,0,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True
112,111,39,0,3,0,10,163593.0,0,0.263972723797683,0,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True
113,112,40,15746,1,0,3,252011.0,1,0.340377599301026,0,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False
114,113,64,23031,0,2,12,0.0,0,0.847352769944665,0,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False
115,114,38,0,0,2,15,273266.0,1,0.798622816064005,0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
116,115,43,23428,1,1,10,117510.0,1,0.735092770722713,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True
117,116,39,27509,0,2,9,11426.0,1,0.525088472919535,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False
118,117,28,27362,0,2,6,21666.0,0,0.369682372251259,0,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
119,118,51,15114,3,3,11,10000.0,1,0.735808939467594,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False
120,119,47,12563,0,0,8,103883.0,0,0.332663823876328,0,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False
121,120,47,0,0,1,28,40695.0,0,0.775778361382762,0,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True
122,121,30,17292,1,1,15,49169.0,1,0.151734981587867,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
123,122,54,31244,1,3,11,43524.0,0,0.625590392783539,0,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False
124,123,25,9859,0,0,12,0.0,0,0.0983684221495957,0,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False
125,124,45,19152,2,1,9,0.0,0,0.556650448786877,1,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False
126,125,61,0,1,2,12,153587.0,0,0.0986113930896519,0,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False
127,126,30,27900,1,2,12,35747.0,0,0.896173881329591,0,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False
128,127,34,0,0,2,6,25034.0,0,0.403409244208824,0,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False
129,128,40,23934,4,1,8,88491.0,1,0.634202107589271,0,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
130,129,34,12396,0,1,11,50025.0,1,0.341755852169286,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
131,130,24,25904,1,1,12,68129.0,0,0.543476321370108,0,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True
132,131,40,0,0,0,8,130240.0,1,0.719497351816889,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False
133,132,29,14360,2,4,7,36792.0,1,0.341857675599041,0,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
134,133,44,19209,0,4,12,10596.0,0,0.212597043800325,0,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True
135,134,30,13014,0,1,12,46823.0,1,0.69387886863283,0,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
136,135,55,17365,2,1,7,500000.0,1,0.128566211930421,1,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
137,136,32,12128,0,1,0,0.0,1,0.82449673804371,0,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True
138,137,36,8807,0,3,12,33695.0,0,0.556263843550435,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True
139,138,48,36643,1,3,14,52458.0,0,0.14424728761016,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False
140,139,27,11521,2,1,13,109909.0,0,0.466127249342738,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True
141,140,42,20143,0,3,18,29292.0,0,0.356583363461555,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False
142,141,53,32094,0,0,14,500000.0,1,0.157372355536073,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True
143,142,23,16196,4,3,11,29375.0,1,0.0388975620977576,0,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True
144,143,41,14580,1,1,5,32676.0,1,0.447332466550333,0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
145,144,42,24664,0,3,9,274334.0,0,0.651527386906391,0,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
146,145,47,0,2,0,8,0.0,0,0.888003956296123,1,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True
147,146,27,12275,1,3,11,292471.0,0,0.332986095268137,0,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
148,147,26,0,0,1,3,226962.0,0,0.304397894345894,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
149,148,45,9262,0,1,12,114983.0,1,0.529417065041555,0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
150,149,42,18095,0,3,7,16306.0,1,0.567677886500446,0,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True
151,150,42,22406,3,0,11,40146.0,1,0.142290809779439,0,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True
152,151,43,14366,0,0,7,26108.0,1,0.0751475454381629,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False
153,152,33,17527,0,2,9,0.0,0,0.178104267459472,0,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
154,153,42,10893,3,1,5,0.0,1,0.614144680706051,0,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False
155,154,42,22891,0,2,5,32055.0,1,0.390846596456755,0,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False
156,155,32,37340,1,0,12,0.0,0,0.093937699309245,0,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False
157,156,58,12726,0,2,14,127595.0,0,0.781438540445668,0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True
158,157,44,0,1,1,9,0.0,0,0.633973894832179,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False
159,158,28,0,0,1,16,87019.0,0,0.835106271387598,0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False
160,159,46,40000,0,2,15,16492.0,0,0.305791690278265,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True
161,160,30,0,1,1,11,0.0,1,0.567312358202441,0,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False
162,161,47,0,1,1,5,0.0,1,0.705131313046612,0,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False
163,162,51,0,1,0,11,0.0,0,0.919721091379225,0,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False
164,163,31,20930,1,3,11,23627.0,1,0.0523493622514941,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
165,164,49,6384,1,2,12,0.0,0,0.917848208582062,0,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False
166,165,44,28297,1,1,8,35792.0,1,0.188355705278599,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False
167,166,48,40000,1,3,6,50240.0,0,0.405869496184026,0,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True
168,167,58,23349,1,0,1,27567.0,0,0.125931583395053,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False
169,168,37,13153,1,3,10,42626.0,1,0.882334333455492,0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False
170,169,32,17042,1,3,9,75964.0,0,0.276716806343254,0,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True
171,170,31,40000,0,2,16,40686.0,1,0.606115120420295,0,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True
172,171,31,34716,0,2,5,13106.0,0,0.471715516559516,0,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False
173,172,39,30333,0,3,9,108205.0,0,0.876852535468577,0,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False
174,173,43,26323,3,4,4,102759.0,1,0.0398916385467994,0,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False
175,174,42,15826,2,3,18,42126.0,1,0.414690344196117,0,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False
176,175,48,19924,1,5,8,114208.0,1,0.255761156002276,1,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False
177,176,40,21184,0,2,3,43882.0,0,0.258790940312628,0,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False
178,177,54,28992,0,2,10,23765.0,0,0.531686779997584,0,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False
179,178,37,40000,3,0,10,85705.0,0,0.23917569416547,0,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
